run,oscillation,final_success,group
grpo_qwen2.5_3b_seed0_tbs16_vbs8_gs8,0.08547609900657424,0.125,other
grpo_qwen2.5_3b_seed0_tbs16_vbs8_gs8,0.039301292940635675,0.375,other
grpo_qwen2.5_3b_seed3_tbs16_vbs8_gs8_adaptiveepoch0,0.1021111404025631,0.125,other
grpo_qwen2.5_3b_seed1_tbs16_vbs8_gs8_adaptiveepoch0,0.07826084827543968,0.125,other
grpo_s0_tbs16_vbs8_gs8_penalty_w0.8,0.10210815734949162,0.0,other
grpo_s2_tbs16_vbs8_gs8_penalty_w0.8,0.10417439541725937,0.5,other
grpo_s1_tbs16_vbs8_gs8_penalty_w0.8,0.07272524646627823,0.125,other
grpo_s0_tbs16_vbs32_gs8_lr5e6,0.13200033902427538,0.8125,other
grpo_s2_tbs16_vbs32_gs8_lr5e6,0.1485113223626052,0.875,other
grpo_s1_tbs16_vbs32_gs8_lr5e6,0.13851346810392548,0.875,other
grpo_s0_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld3.0,0.11636075826275045,0.75,other
grpo_s1_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em0.6_ld3.0,0.10872724626892782,0.75,other
grpo_s2_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld3.0,0.13392798271378953,0.75,other
grpo_s0_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld5.0,0.11581344704558133,0.875,other
grpo_s2_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld5.0,0.12781852364405763,0.6875,other
grpo_s1_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld3.0,0.09110948811535284,0.625,other
grpo_s1_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld5.0,0.12109774387400228,0.8125,other
grpo_s2_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em0.6_ld3.0,0.13034547424992682,0.6875,other
grpo_s0_tbs16_vbs16_gs8_lr5e6_er_sm2.0_em1.0_ld3.0_75half,0.10622786215491951,0.6875,other
