run,oscillation,final_success,group
ours_s0_tbs128_vbs16_gs8_ae0_ws5_lr5e6_ec0.001,0.05765119045619935,0.625,baseline
ours_s1_tbs128_vbs16_gs8_ae0_ws5_lr5e6_ec0.001,0.04519200306771482,0.8125,baseline
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001,0.051140738370356445,0.625,baseline
ppo_s0_tb128_vb16_gs8_lr5e6_ec0.001,0.059915667520152135,0.9375,baseline
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001,0.06284448807562906,0.875,baseline
ppo_s0_tb128_vb16_gs8_lr5e6_ec0.001_es,0.0408816262970011,0.8125,EPO
ppo_s1_tb128_vb16_gs8_lr5e6_ec0.001,0.042420732289240745,0.8125,baseline
ppo_s1_tb128_vb16_gs8_lr5e6_ec0.001_es,0.08579684128329289,0.8125,EPO
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001_es,0.045476515319633974,0.875,EPO
ppo_s1_tb128_vb16_gs8_lr5e6_ec0,0.0429057824033887,0.875,baseline
ppo_s0_tb128_vb16_gs8_lr5e6_ec0,0.06025230388609619,0.8125,baseline
ppo_s0_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.06068452442596732,0.875,EPO
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.051762781322541966,0.6875,EPO
ppo_s2_tb128_vb16_gs8_lr5e6_ec0,0.05648626992440162,0.625,baseline
ppo_s1_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.06960940289704806,0.8125,EPO
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.06025083346390512,0.6875,EPO
