run,oscillation,final_success,group
grpo_s0_tbs16_vbs32_gs8_lr5e6_ec0.001,0.6431166350841301,0.3125,baseline
grpo_s0_tbs16_vbs32_gs8_lr3e6_ec0.001,0.12825361156011852,0.84375,baseline
grpo_s0_tbs16_vbs32_gs8_lr3e6_ec0.001,0.21753180598855631,0.90625,baseline
grpo_s0_tbs16_vbs32_gs8_lr3e6_ec0.001,0.13564388187631604,0.0625,baseline
grpo_s0_tbs16_vbs32_gs8_lr3e6_ec0.001,0.19012646280459594,0.375,baseline
grpo_s0_tbs16_vbs32_gs8_lr5e6_ec0.001,0.04413856674269693,0.09375,baseline
grpo_s0_tbs16_vbs16_gs8_lr5e6_ec0.001,0.04673572286729722,0.3125,baseline
grpo_s0_tbs16_vbs16_gs8_lr5e6_ec0.001,0.04515002521960178,0.6875,baseline
grpo_s0_tb16_vb16_gs8_lr5e6_ec0,0.6328689039740198,1.0,baseline
grpo_s1_tb16_vb16_gs8_lr5e6_ec0,0.5778589292985428,1.0,baseline
grpo_s2_tb16_vb16_gs8_lr5e6_ec0,0.5598517777490163,0.5625,baseline
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001,0.4722148327827934,0.8125,baseline
grpo_s1_tb16_vb16_gs8_lr5e6_ec0,0.1204268562259709,0.1875,baseline
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001,0.7764496179758185,0.5625,baseline
grpo_s0_tb16_vb16_gs8_lr5e6_ec0,0.40822923403966277,0.1875,baseline
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001,0.7452014443367284,0.6875,baseline
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.2111267126784324,1.0,EPO
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.4064896110503492,0.125,EPO
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.48394289227309417,0.0,EPO
grpo_s0_tb16_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.22526896980050046,0.0625,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.7440007451565812,0.125,EPO
grpo_s1_tb16_vb16_gs8_lr5e6_ec0.001,0.45521137334521133,0.3125,baseline
grpo_s2_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.6816911587034017,0.6875,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.8251102699473336,0.125,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.2929222790193419,0.25,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.3980074987154133,0.3125,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001,0.6195955942048548,0.6875,baseline
grpo_s0_tb16_vb16_gs8_lr5e6_ec0,0.5780367121670505,0.6875,baseline
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.3702364010253019,0.25,EPO
grpo_s0_tb16_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.6821235475800985,0.1875,EPO
grpo_s0_tb16_vb16_gs8_lr3e6_ec0.001_er,0.2992475613822442,0.6875,baseline
grpo_s1_tb16_vb16_gs8_lr3e6_ec0.001_er,0.3945584992539168,0.1875,baseline
grpo_s0_tb16_vb16_gs8_lr3e6_ec0_esa,0.05511701492405618,0.0,EPO
grpo_s2_tb16_vb16_gs8_lr3e6_ec0_esa,0.029003908781240668,0.25,EPO
grpo_s1_tb16_vb16_gs8_lr3e6_ec0_esa,0.044541720138889705,0.75,EPO
grpo_s1_tb16_vb16_gs8_lr3e6_ec0.001_er,0.0186341638398623,0.3125,baseline
grpo_s2_tb16_vb16_gs8_lr3e6_ec0.001_er,0.04158960254272455,0.1875,baseline
