run,oscillation,final_success,group
ours_s0_tbs128_vbs32_gs8_ae0_ws5_lr1e6_ec0.001,0.06395981535186432,0.6875,baseline
ours_s0_tbs128_vbs32_gs8_ae0_ws5_lr3e6_ec0.001,0.09082235523248867,0.21875,baseline
ours_s0_tbs128_vbs32_gs8_ae0_ws5_lr1e6_ec0.001,0.06255935038644533,0.75,baseline
ppo_s2_tb128_vb16_gs8_lr5e6_ec0,0.39085984435284654,0.25,baseline
ppo_s1_tb128_vb16_gs8_lr5e6_ec0,0.33225010688909895,0.25,baseline
ppo_s0_tb128_vb16_gs8_lr5e6_ec0,0.21186001487101347,0.125,baseline
ppo_s0_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.07227229833994561,0.0,EPO
ppo_s1_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.1229649027196644,0.125,EPO
ppo_s1_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.5622989900100096,0.0,EPO
ppo_s0_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.5987396687852262,0.125,EPO
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.685096975381077,0.0,EPO
ppo_s2_tb128_vb16_gs8_lr5e6_ec0.001_es1.0_sw,0.5785253178336741,0.375,EPO
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.073060425296379,0.125,EPO
ppo_s2_tb128_vb16_gs8_lr3e6_ec0.001,0.10903721895844802,0.25,baseline
ppo_s2_tb128_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.11038243413551822,0.625,EPO
ppo_s1_tb128_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.0428239717046056,0.9375,EPO
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001,0.027679343305420694,0.0625,baseline
ppo_s2_tb128_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.094719600887704,1.0,EPO
ppo_s2_tb128_vb16_gs8_lr3e6_ec0,0.07081580485529752,0.4375,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001,0.11625558508326642,0.4375,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001,0.04052210098153123,0.375,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001,0.3832263247528695,0.3125,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.05419046141640624,1.0,EPO
ppo_s1_tb128_vb16_gs8_lr3e6_ec0.001,0.1629863573264645,1.0,baseline
ppo_s1_tb128_vb16_gs8_lr3e6_ec0.001,0.10465266130670332,0.25,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001_es1.0_sw,0.15451038007151668,0.4375,EPO
ppo_s1_tb128_vb16_gs8_lr3e6_ec0.001_er,0.2543722693540831,0.375,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0.001_er,0.2159963994821572,0.1875,baseline
ppo_s2_tb128_vb16_gs8_lr3e6_ec0.001_er,0.06704764431070931,0.375,baseline
ppo_s2_tb128_vb16_gs8_lr3e6_ec0.001_er,0.046714658542940844,0.3125,baseline
ppo_s0_tb128_vb16_gs8_lr3e6_ec0_esa,0.025256054900491584,1.0,EPO
ppo_s1_tb128_vb16_gs8_lr3e6_ec0_esa,0.027788704791347343,0.3125,EPO
ppo_s2_tb128_vb16_gs8_lr3e6_ec0_esa,0.03549243534842552,0.3125,EPO
ppo_sciworld_with_windows_s0,1.2057839637868155,0.0,other
agent_debug_s1,0.43667913902712013,0.0625,other
ppo_s2_tb128_vb16_gs8_lr3e6_windowsTrue_ec0.001_es1.0_sw,1.3959766331236434,0.0,EPO
ppo_s2_tb128_vb16_gs8_lr3e6_windowsTrue_ec0.001_es1.0_sw,1.2451600144215735,0.0,EPO
ppo_s1_tb128_vb16_gs8_lr3e6_windowsTrue_ec0.001_es1.0_sw,0.6327727780762654,0.0,EPO
